pitcher,player_name,game_year,pitch_type,n,release_speed,arm_angle,extension_ratio
656786,"Mushinski, Parker",2023,FF,41,93.1268292682927,42.324686518657636,1.113008130081301
656786,"Mushinski, Parker",2023,SI,12,93.11666666666667,41.703473535706294,1.1347222222222222
656786,"Mushinski, Parker",2023,FF,41,93.1268292682927,42.324686518657636,1.113008130081301
656786,"Mushinski, Parker",2023,SI,12,93.11666666666667,41.703473535706294,1.1347222222222222
656786,"Mushinski, Parker",2024,FF,36,91.96944444444443,43.61346484422789,1.0976851851851854
656786,"Mushinski, Parker",2024,SI,18,91.12222222222222,42.402229830841854,1.0833333333333333
656786,"Mushinski, Parker",2022,FF,25,92.104,41.67007624704402,1.0753333333333333
656793,"Nelson, Nick",2023,FF,22,93.83636363636364,43.58021719709117,1.0438356164383562
656793,"Nelson, Nick",2023,SI,17,92.74705882352941,45.58124812716111,1.0375503626107976
656793,"Nelson, Nick",2020,FF,214,96.32476635514017,41.26529830798631,1.048060427602099
656793,"Nelson, Nick",2022,FF,517,96.26247582205032,42.96041392540438,1.0292255107177866
656793,"Nelson, Nick",2024,FF,26,94.28846153846152,40.39099387236158,1.0147523709167545
656793,"Nelson, Nick",2024,SI,28,93.61428571428571,43.16890333784538,1.027397260273973
656793,"Nelson, Nick",2021,FF,182,96.39175824175825,38.80444219013733,1.0471774800541924
656793,"Nelson, Nick",2024,FF,26,94.28846153846152,40.39099387236158,1.0147523709167545
656793,"Nelson, Nick",2024,SI,28,93.61428571428571,43.16890333784538,1.027397260273973
656793,"Nelson, Nick",2023,FF,22,93.83636363636364,43.58021719709117,1.0438356164383562
656793,"Nelson, Nick",2023,SI,17,92.74705882352941,45.58124812716111,1.0375503626107976
656794,"Newcomb, Sean",2024,FF,87,93.74252873563219,47.25500688477238,0.9058665472458576
656794,"Newcomb, Sean",2024,SI,22,93.10454545454546,54.003989305336525,0.9074380165289256
656794,"Newcomb, Sean",2023,FF,144,93.3909722222222,49.78677556048761,0.8902597402597396
656794,"Newcomb, Sean",2023,SI,19,92.38421052631577,54.28173586605512,0.8956937799043061
656794,"Newcomb, Sean",2022,FF,281,94.34021352313175,43.97233218904662,0.8944678097703003
656794,"Newcomb, Sean",2024,FF,87,93.74252873563219,47.25500688477238,0.9058665472458576
656794,"Newcomb, Sean",2024,SI,22,93.10454545454546,54.003989305336525,0.9074380165289256
656794,"Newcomb, Sean",2020,FF,162,93.40061728395055,41.17690443158121,0.9240981240981225
656794,"Newcomb, Sean",2021,FF,388,95.59561855670097,43.06659812404482,0.9054224126389077
656794,"Newcomb, Sean",2023,FF,144,93.3909722222222,49.78677556048761,0.8902597402597396
656794,"Newcomb, Sean",2023,SI,19,92.38421052631577,54.28173586605512,0.8956937799043061
656803,"Norwood, James",2020,FF,17,97.58235294117648,52.40314306012914,1.061685214626391
656803,"Norwood, James",2020,SI,5,96.36,49.597248335652736,1.0345945945945947
656803,"Norwood, James",2022,FF,180,96.58888888888883,49.38895266568927,1.0550450450450453
656803,"Norwood, James",2021,FF,66,97.33333333333331,55.04701796350205,1.0434889434889438
656803,"Norwood, James",2020,FF,17,97.58235294117648,52.40314306012914,1.061685214626391
656803,"Norwood, James",2020,SI,5,96.36,49.597248335652736,1.0345945945945947
656814,"Ortiz, Luis F.",2023,FF,32,95.13125000000001,52.736591198859806,0.9365
656814,"Ortiz, Luis F.",2023,SI,96,94.46874999999999,53.428945695627,0.941333333333333
656814,"Ortiz, Luis F.",2023,FF,32,95.13125000000001,52.736591198859806,0.9365
656814,"Ortiz, Luis F.",2023,SI,96,94.46874999999999,53.428945695627,0.941333333333333
656814,"Ortiz, Luis F.",2022,FF,31,95.06129032258065,53.11123849066178,0.925935483870968
656814,"Ortiz, Luis F.",2022,SI,27,93.90740740740739,56.199597861561735,0.9410370370370373
656814,"Ortiz, Luis F.",2022,FF,31,95.06129032258065,53.11123849066178,0.925935483870968
656814,"Ortiz, Luis F.",2022,SI,27,93.90740740740739,56.199597861561735,0.9410370370370373
656818,"Overton, Connor",2023,FF,55,91.07636363636361,55.09669779425974,1.0312121212121208
656818,"Overton, Connor",2023,SI,27,90.5888888888889,55.190916736864956,1.0376543209876545
656818,"Overton, Connor",2021,FF,106,92.33301886792451,42.40076976041584,1.010849056603773
656818,"Overton, Connor",2021,SI,34,91.04117647058824,43.48750860896189,1.0215686274509803
656818,"Overton, Connor",2023,FF,55,91.07636363636361,55.09669779425974,1.0312121212121208
656818,"Overton, Connor",2023,SI,27,90.5888888888889,55.190916736864956,1.0376543209876545
656818,"Overton, Connor",2022,FF,124,91.0830645161291,52.40473242165304,1.0293010752688163
656818,"Overton, Connor",2022,SI,102,90.68627450980392,54.725932322780544,1.02892156862745
656818,"Overton, Connor",2022,FF,124,91.0830645161291,52.40473242165304,1.0293010752688163
656818,"Overton, Connor",2022,SI,102,90.68627450980392,54.725932322780544,1.02892156862745
656818,"Overton, Connor",2021,FF,106,92.33301886792451,42.40076976041584,1.010849056603773
656818,"Overton, Connor",2021,SI,34,91.04117647058824,43.48750860896189,1.0215686274509803
656820,"Padilla, Nicholas",2023,SI,22,93.8681818181818,47.39721617290456,0.9714987714987715
656820,"Padilla, Nicholas",2023,FC,29,92.21379310344828,48.66466722604444,0.9931034482758619
656820,"Padilla, Nicholas",2022,SI,6,93.63333333333334,48.815473158381,0.9621621621621621
656820,"Padilla, Nicholas",2022,FC,24,92.85833333333333,48.01921988714356,0.9655405405405406
656820,"Padilla, Nicholas",2022,SI,6,93.63333333333334,48.815473158381,0.9621621621621621
656820,"Padilla, Nicholas",2022,FC,24,92.85833333333333,48.01921988714356,0.9655405405405406
656820,"Padilla, Nicholas",2023,SI,22,93.8681818181818,47.39721617290456,0.9714987714987715
656820,"Padilla, Nicholas",2023,FC,29,92.21379310344828,48.66466722604444,0.9931034482758619
656848,"Petersen, Michael",2024,FF,238,97.06050420168073,36.314519661300395,0.991873204978195
656849,"Peterson, David",2024,FF,496,93.11955645161297,48.6512246469374,1.0933002481389662
656849,"Peterson, David",2024,SI,580,91.88500000000012,46.25442359690567,1.09811671087534
656849,"Peterson, David",2021,FF,333,92.6702702702703,44.09246486501919,1.105844305844312
656849,"Peterson, David",2021,SI,325,92.39323076923075,44.40398030478863,1.1024852071005968
656849,"Peterson, David",2020,FF,304,92.13223684210527,46.56833136377278,1.0978744939271297
656849,"Peterson, David",2020,SI,128,91.82421875000001,50.23036379010658,1.0963942307692314
656849,"Peterson, David",2023,FF,535,92.67177570093462,48.46749132986642,1.0976276060388301
656849,"Peterson, David",2023,SI,496,91.53125000000001,46.4238522115297,1.0990384615384696
656849,"Peterson, David",2022,FF,716,93.69734636871505,51.69477130470066,1.0873871938117865
656849,"Peterson, David",2022,SI,217,93.25299539170517,50.451596156372354,1.0857142857142859
656849,"Peterson, David",2022,FF,716,93.69734636871505,51.69477130470066,1.0873871938117865
656849,"Peterson, David",2022,SI,217,93.25299539170517,50.451596156372354,1.0857142857142859
656849,"Peterson, David",2020,FF,304,92.13223684210527,46.56833136377278,1.0978744939271297
656849,"Peterson, David",2020,SI,128,91.82421875000001,50.23036379010658,1.0963942307692314
656849,"Peterson, David",2024,FF,496,93.11955645161297,48.6512246469374,1.0933002481389662
656849,"Peterson, David",2024,SI,580,91.88500000000012,46.25442359690567,1.09811671087534
656849,"Peterson, David",2023,FF,535,92.67177570093462,48.46749132986642,1.0976276060388301
656849,"Peterson, David",2023,SI,496,91.53125000000001,46.4238522115297,1.0990384615384696
656849,"Peterson, David",2021,FF,333,92.6702702702703,44.09246486501919,1.105844305844312
656849,"Peterson, David",2021,SI,325,92.39323076923075,44.40398030478863,1.1024852071005968
656876,"Rasmussen, Drew",2024,FF,173,97.42658959537575,30.71628190535292,1.0890173410404613
656876,"Rasmussen, Drew",2024,SI,134,96.20373134328358,37.52037685202669,1.088857084440809
